Refugee_Status	Indicator	Numbers	Perc	Percent
Refugee	Pay down hh debt in part	97%	97	1%
Non refugee	Pay down hh debt in part	93%	93	1%
Refugee	Pay down hh debt in full	19%	19	0%
Non refugee	Pay down hh debt in full	30%	30	0%
Refugee	Not take on any new debts	59%	59	1%
Non refugee	Not take on any new debts	75%	75	1%
Refugee	Replenish or start a savings	7%	7	0%
Non refugee	Replenish or start a savings	10%	10	0%
Refugee	Purchase of at least one productive asset	25%	25	0%
Non refugee	Purchase of at least one productive asset	3%	3	0%
Refugee	Establishment of income-generating activities	2%	2	0%
Non refugee	Establishment of income-generating activities	4%	4	0%
Refugee	Repair or replace a significant NFI	69%	69	1%
Non refugee	Repair or replace a significant NFI	75%	75	1%
