Refugee_Status	Indicator	Numbers	Perc	Percent
Refugee	Food	97%	97	1%
Non refugee	Food	91%	91	1%
Refugee	Shelter	58%	58	1%
Non refugee	Shelter	36%	36	0%
Refugee	Water	6%	6	0%
Non refugee	Water	18%	18	0%
Refugee	Hygiene	16%	16	0%
Non refugee	Hygiene	11%	11	0%
Refugee	Health	53%	53	1%
Non refugee	Health	47%	47	0%
Refugee	Energy	22%	22	0%
Non refugee	Energy	21%	21	0%
Refugee	Transportation	4%	4	0%
Non refugee	Transportation	5%	5	0%
Refugee	Household items	10%	10	0%
Non refugee	Household items	37%	37	0%
Refugee	Communication	0%	0	0%
Non refugee	Communication	2%	2	0%
Refugee	Legal services	0%	0	0%
Non refugee	Legal services	1%	1	0%
